date,service,region,usage_hours,cpu_utilizationpercent,cost_usd,cost_inr,idle_cost_inr,efficiency_score,year,month,month_name,quarter,day_of_week,week_number,service_category,utilization_category,cost_category
2024-12-10,ec2,ap-south-1,23.4,81.7,3.41,283.54150000000004,51.888094499999994,288.14124211094315,2024,12,December,4,Tuesday,50,Compute,Very High (80-100%),High (₹200-300)
2024-12-10,ec2,ap-south-1,23.4,81.7,3.41,283.54150000000004,51.888094499999994,288.14124211094315,2024,12,December,4,Tuesday,50,Compute,Very High (80-100%),High (₹200-300)
2024-01-11,ec2,us-west-2,24.7,85.3,3.51,291.8565,42.9029055,292.26691884539144,2024,1,January,1,Thursday,2,Compute,Very High (80-100%),High (₹200-300)
2024-02-11,ec2,us-west-2,23.9,82.6,3.43,285.20450000000005,49.62558300000002,289.6167486838391,2024,2,February,1,Sunday,6,Compute,Very High (80-100%),High (₹200-300)
2024-03-11,s3,us-west-2,0.0,0.0,1.05,87.3075,87.3075,0.0,2024,3,March,1,Monday,11,Storage,,Low (₹0-100)
2024-04-11,rds,us-west-2,12.8,49.2,3.31,275.22650000000004,139.815062,178.7618561439396,2024,4,April,2,Thursday,15,Database,Medium (40-60%),High (₹200-300)
2024-05-11,lambda,us-west-2,0.0,0.0,0.26,21.619000000000003,21.619000000000003,0.0,2024,5,May,2,Saturday,19,Serverless,,Low (₹0-100)
2024-06-11,ecs,us-west-2,15.2,71.4,2.92,242.798,69.44022799999998,294.07161508743894,2024,6,June,2,Tuesday,24,Compute,High (60-80%),High (₹200-300)
2024-07-11,s3,us-west-2,0.0,0.0,1.08,89.802,89.802,0.0,2024,7,July,3,Thursday,28,Storage,,Low (₹0-100)
2024-08-11,rds,us-west-2,12.5,46.8,3.27,271.9005,144.65106600000001,172.12178719789037,2024,8,August,3,Sunday,32,Database,Medium (40-60%),High (₹200-300)
2024-09-11,ec2,us-west-2,23.1,80.5,3.39,281.87850000000003,54.96630749999999,285.58403709399613,2024,9,September,3,Wednesday,37,Compute,Very High (80-100%),High (₹200-300)
2024-10-11,ec2,us-west-2,23.7,81.3,3.42,284.373,53.177751000000015,285.89212055996876,2024,10,October,4,Friday,41,Compute,Very High (80-100%),High (₹200-300)
2024-11-11,ec2,us-west-2,24.5,84.5,3.49,290.19350000000003,44.97999250000001,291.18501965068134,2024,11,November,4,Monday,46,Compute,Very High (80-100%),High (₹200-300)
2024-12-11,s3,us-west-2,0.0,0.0,1.02,84.813,84.813,0.0,2024,12,December,4,Wednesday,50,Storage,,Low (₹0-100)
2024-01-12,ec2,eu-central-1,25.1,86.3,3.75,311.8125,42.7183125,276.7688915614351,2024,1,January,1,Friday,2,Compute,Very High (80-100%),Very High (₹300+)
2024-02-12,ec2,eu-central-1,24.6,84.2,3.69,306.8235,48.47811299999998,274.42487293183217,2024,2,February,1,Monday,7,Compute,Very High (80-100%),Very High (₹300+)
2024-03-12,s3,eu-central-1,0.0,0.0,1.22,101.443,101.443,0.0,2024,3,March,1,Tuesday,11,Storage,,Medium (₹100-200)
2024-04-12,rds,eu-central-1,13.7,51.9,3.53,293.5195,141.18287949999998,176.81959801648614,2024,4,April,2,Friday,15,Database,Medium (40-60%),High (₹200-300)
2024-05-12,lambda,eu-central-1,0.0,0.0,0.34,28.271000000000004,28.271000000000004,0.0,2024,5,May,2,Sunday,19,Serverless,,Low (₹0-100)
2024-06-12,ec2,eu-central-1,25.0,86.0,3.74,310.98100000000005,43.537340000000015,276.5442261745894,2024,6,June,2,Wednesday,24,Compute,Very High (80-100%),Very High (₹300+)
2024-07-12,s3,eu-central-1,0.0,0.0,1.25,103.9375,103.9375,0.0,2024,7,July,3,Friday,28,Storage,,Medium (₹100-200)
2024-08-12,rds,eu-central-1,13.4,48.9,3.49,290.19350000000003,148.2888785,168.5082539753647,2024,8,August,3,Monday,33,Database,Medium (40-60%),High (₹200-300)
2024-09-12,ec2,eu-central-1,23.8,82.1,3.62,301.00300000000004,53.87953700000002,272.7547565971103,2024,9,September,3,Thursday,37,Compute,Very High (80-100%),Very High (₹300+)
2024-10-12,ec2,eu-central-1,24.4,83.8,3.66,304.329,49.30129800000001,275.3598901189173,2024,10,October,4,Saturday,41,Compute,Very High (80-100%),Very High (₹300+)
2024-11-12,ec2,eu-central-1,25.0,86.4,3.74,310.98100000000005,42.29341599999997,277.83047838935494,2024,11,November,4,Tuesday,46,Compute,Very High (80-100%),Very High (₹300+)
2024-12-12,s3,eu-central-1,0.0,0.0,1.18,98.117,98.117,0.0,2024,12,December,4,Thursday,50,Storage,,Low (₹0-100)
2025-01-01,ec2,ap-south-1,23.7,82.7,3.44,286.036,49.48422799999998,289.12444587394594,2025,1,January,1,Wednesday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-01,ec2,ap-south-1,22.7,79.5,3.34,277.721,56.93280499999999,286.2585112396974,2025,2,February,1,Saturday,5,Compute,High (60-80%),High (₹200-300)
2025-03-01,s3,ap-south-1,0.0,0.0,0.97,80.6555,80.6555,0.0,2025,3,March,1,Saturday,9,Storage,,Low (₹0-100)
2025-04-01,rds,ap-south-1,12.3,47.8,3.24,269.40600000000006,140.62993200000003,177.42737726702444,2025,4,April,2,Tuesday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-01,lambda,ap-south-1,0.0,0.0,0.25,20.7875,20.7875,0.0,2025,5,May,2,Thursday,18,Serverless,,Low (₹0-100)
2025-06-01,ec2,ap-south-1,23.3,81.3,3.4,282.71000000000004,52.866770000000024,287.57383891620384,2025,6,June,2,Sunday,22,Compute,Very High (80-100%),High (₹200-300)
2025-07-01,s3,ap-south-1,0.0,0.0,1.0,83.15,83.15,0.0,2025,7,July,3,Tuesday,27,Storage,,Low (₹0-100)
2025-08-01,rds,ap-south-1,11.9,45.1,3.2,266.08000000000004,146.07792,169.4978953698136,2025,8,August,3,Friday,31,Database,Medium (40-60%),High (₹200-300)
2025-09-01,ec2,ap-south-1,22.2,78.1,3.31,275.22650000000004,60.27460350000003,283.7662797732049,2025,9,September,3,Monday,36,Compute,High (60-80%),High (₹200-300)
2025-10-01,ec2,ap-south-1,23.0,80.2,3.37,280.2155,55.482668999999994,286.2082932600088,2025,10,October,4,Wednesday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-01,ec2,ap-south-1,23.8,83.0,3.45,286.8675,48.76747500000001,289.33218297646124,2025,11,November,4,Saturday,44,Compute,Very High (80-100%),High (₹200-300)
2025-12-01,s3,ap-south-1,0.0,0.0,0.96,79.824,79.824,0.0,2025,12,December,4,Monday,49,Storage,,Low (₹0-100)
2025-01-02,ec2,us-west-2,24.9,85.8,3.53,293.5195,41.679769,292.31447995789034,2025,1,January,1,Thursday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-02,ec2,us-west-2,24.1,83.1,3.45,286.8675,48.48060750000001,289.6807759679991,2025,2,February,1,Sunday,5,Compute,Very High (80-100%),High (₹200-300)
2025-03-02,s3,us-west-2,0.0,0.0,1.07,88.97050000000002,88.97050000000002,0.0,2025,3,March,1,Sunday,9,Storage,,Low (₹0-100)
2025-04-02,rds,us-west-2,13.0,50.1,3.33,276.8895,138.1678605,180.93860547258024,2025,4,April,2,Wednesday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-02,lambda,us-west-2,0.0,0.0,0.27,22.4505,22.4505,0.0,2025,5,May,2,Friday,18,Serverless,,Low (₹0-100)
2025-06-02,ecs,us-west-2,15.4,72.1,2.94,244.461,68.20461900000001,294.93457034046327,2025,6,June,2,Monday,23,Compute,High (60-80%),High (₹200-300)
2025-07-02,s3,us-west-2,0.0,0.0,1.1,91.46500000000002,91.46500000000002,0.0,2025,7,July,3,Wednesday,27,Storage,,Low (₹0-100)
2025-08-02,rds,us-west-2,12.7,47.5,3.29,273.56350000000003,143.62083750000002,173.6342750403471,2025,8,August,3,Saturday,31,Database,Medium (40-60%),High (₹200-300)
2025-09-02,ec2,us-west-2,23.3,81.0,3.41,283.54150000000004,53.87288499999999,285.6724676987319,2025,9,September,3,Tuesday,36,Compute,Very High (80-100%),High (₹200-300)
2025-10-02,ec2,us-west-2,23.9,81.9,3.44,286.036,51.77251599999998,286.327595127886,2025,10,October,4,Thursday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-02,ec2,us-west-2,24.7,85.0,3.51,291.8565,43.77847500000001,291.2390164344464,2025,11,November,4,Sunday,44,Compute,Very High (80-100%),High (₹200-300)
2025-12-02,s3,us-west-2,0.0,0.0,1.04,86.47600000000001,86.47600000000001,0.0,2025,12,December,4,Tuesday,49,Storage,,Low (₹0-100)
2025-01-03,ec2,eu-central-1,25.3,86.8,3.77,313.4755,41.378766000000006,276.8956425621779,2025,1,January,1,Friday,1,Compute,Very High (80-100%),Very High (₹300+)
2025-02-03,ec2,eu-central-1,24.8,84.7,3.71,308.48650000000004,47.19843450000001,274.566310033016,2025,2,February,1,Monday,6,Compute,Very High (80-100%),Very High (₹300+)
2025-03-03,s3,eu-central-1,0.0,0.0,1.24,103.10600000000001,103.10600000000001,0.0,2025,3,March,1,Monday,10,Storage,,Medium (₹100-200)
2025-04-03,rds,eu-central-1,13.9,52.5,3.55,295.1825,140.21168749999998,177.85607209099456,2025,4,April,2,Thursday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-03,lambda,eu-central-1,0.0,0.0,0.35,29.1025,29.1025,0.0,2025,5,May,2,Saturday,18,Serverless,,Low (₹0-100)
2025-06-03,ec2,eu-central-1,25.2,86.5,3.76,312.644,42.20694,276.672509307711,2025,6,June,2,Tuesday,23,Compute,Very High (80-100%),Very High (₹300+)
2025-07-03,s3,eu-central-1,0.0,0.0,1.27,105.60050000000001,105.60050000000001,0.0,2025,7,July,3,Thursday,27,Storage,,Medium (₹100-200)
2025-08-03,rds,eu-central-1,13.6,49.5,3.51,291.8565,147.3875325,169.60389780594232,2025,8,August,3,Sunday,31,Database,Medium (40-60%),High (₹200-300)
2025-09-03,ec2,eu-central-1,24.0,82.7,3.64,302.66600000000005,52.36121799999999,273.23848730944337,2025,9,September,3,Wednesday,36,Compute,Very High (80-100%),Very High (₹300+)
2025-10-03,ec2,eu-central-1,24.6,84.3,3.68,305.992,48.04074400000001,275.4973986248006,2025,10,October,4,Friday,40,Compute,Very High (80-100%),Very High (₹300+)
2025-11-03,ec2,eu-central-1,25.2,86.9,3.76,312.644,40.956363999999965,277.95191975537676,2025,11,November,4,Monday,45,Compute,Very High (80-100%),Very High (₹300+)
2025-12-03,s3,eu-central-1,0.0,0.0,1.2,99.78,99.78,0.0,2025,12,December,4,Wednesday,49,Storage,,Low (₹0-100)
2025-01-04,ec2,ap-south-1,23.9,83.2,3.46,287.699,48.33343199999998,289.1911337891338,2025,1,January,1,Saturday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-04,ec2,ap-south-1,22.9,80.0,3.36,279.384,55.87679999999999,286.34424304899346,2025,2,February,1,Tuesday,6,Compute,High (60-80%),High (₹200-300)
2025-03-04,s3,ap-south-1,0.0,0.0,0.98,81.48700000000001,81.48700000000001,0.0,2025,3,March,1,Tuesday,10,Storage,,Low (₹0-100)
2025-04-04,rds,ap-south-1,12.5,48.4,3.26,271.069,139.87160400000002,178.55232431594905,2025,4,April,2,Friday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-04,lambda,ap-south-1,0.0,0.0,0.26,21.619000000000003,21.619000000000003,0.0,2025,5,May,2,Sunday,18,Serverless,,Low (₹0-100)
2025-06-04,ec2,ap-south-1,23.5,81.8,3.42,284.373,51.75588600000001,287.6503746839538,2025,6,June,2,Wednesday,23,Compute,Very High (80-100%),High (₹200-300)
2025-07-04,s3,ap-south-1,0.0,0.0,1.02,84.813,84.813,0.0,2025,7,July,3,Friday,27,Storage,,Low (₹0-100)
2025-08-04,rds,ap-south-1,12.1,45.7,3.22,267.74300000000005,145.38444900000002,170.68606835659565,2025,8,August,3,Monday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-04,ec2,ap-south-1,22.4,78.7,3.33,276.8895,58.97746349999999,284.2289071994424,2025,9,September,3,Thursday,36,Compute,High (60-80%),High (₹200-300)
2025-10-04,ec2,ap-south-1,23.2,80.7,3.39,281.87850000000003,54.40255049999999,286.2935626519937,2025,10,October,4,Saturday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-04,ec2,ap-south-1,24.0,83.5,3.47,288.5305,47.60753250000001,289.3974813754525,2025,11,November,4,Tuesday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-04,s3,ap-south-1,0.0,0.0,0.97,80.6555,80.6555,0.0,2025,12,December,4,Thursday,49,Storage,,Low (₹0-100)
2025-01-05,ec2,us-west-2,25.1,86.3,3.55,295.1825,40.440002500000006,292.36150517053005,2025,1,January,1,Sunday,1,Compute,Very High (80-100%),High (₹200-300)
2025-02-05,ec2,us-west-2,24.3,83.7,3.47,288.5305,47.03047149999998,290.09064899551345,2025,2,February,1,Wednesday,6,Compute,Very High (80-100%),High (₹200-300)
2025-03-05,s3,us-west-2,0.0,0.0,1.09,90.63350000000001,90.63350000000001,0.0,2025,3,March,1,Wednesday,10,Storage,,Low (₹0-100)
2025-04-05,rds,us-west-2,13.2,50.7,3.35,278.5525,137.3263825,182.0123675070229,2025,4,April,2,Saturday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-05,lambda,us-west-2,0.0,0.0,0.28,23.282000000000004,23.282000000000004,0.0,2025,5,May,2,Monday,19,Serverless,,Low (₹0-100)
2025-06-05,ecs,us-west-2,15.6,72.8,2.96,246.12400000000002,66.94572800000002,295.7858640360143,2025,6,June,2,Thursday,23,Compute,High (60-80%),High (₹200-300)
2025-07-05,s3,us-west-2,0.0,0.0,1.12,93.12800000000001,93.12800000000001,0.0,2025,7,July,3,Saturday,27,Storage,,Low (₹0-100)
2025-08-05,rds,us-west-2,12.9,48.1,3.31,275.22650000000004,142.8425535,174.7651479781198,2025,8,August,3,Tuesday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-05,ec2,us-west-2,23.5,81.6,3.43,285.20450000000005,52.477628000000024,286.11049264650444,2025,9,September,3,Friday,36,Compute,Very High (80-100%),High (₹200-300)
2025-10-05,ec2,us-west-2,24.1,82.5,3.46,287.699,50.34732500000001,286.7580353077348,2025,10,October,4,Sunday,40,Compute,Very High (80-100%),High (₹200-300)
2025-11-05,ec2,us-west-2,24.9,85.6,3.53,293.5195,42.266808000000005,291.6330942237228,2025,11,November,4,Wednesday,45,Compute,Very High (80-100%),High (₹200-300)
2025-12-05,s3,us-west-2,0.0,0.0,1.06,88.13900000000001,88.13900000000001,0.0,2025,12,December,4,Friday,49,Storage,,Low (₹0-100)
2025-01-06,ec2,eu-central-1,25.5,87.3,3.79,315.1385,40.0225895,277.021055821488,2025,1,January,1,Monday,2,Compute,Very High (80-100%),Very High (₹300+)
2025-02-06,ec2,eu-central-1,25.0,85.2,3.73,310.14950000000005,45.90212600000001,274.7062303824446,2025,2,February,1,Thursday,6,Compute,Very High (80-100%),Very High (₹300+)
2025-03-06,s3,eu-central-1,0.0,0.0,1.26,104.769,104.769,0.0,2025,3,March,1,Thursday,10,Storage,,Medium (₹100-200)
2025-04-06,rds,eu-central-1,14.1,53.1,3.57,296.8455,139.2205395,178.88093301060653,2025,4,April,2,Sunday,14,Database,Medium (40-60%),High (₹200-300)
2025-05-06,lambda,eu-central-1,0.0,0.0,0.36,29.934,29.934,0.0,2025,5,May,2,Tuesday,19,Serverless,,Low (₹0-100)
2025-06-06,ec2,eu-central-1,25.4,87.0,3.78,314.307,40.859910000000006,276.7994349473604,2025,6,June,2,Friday,23,Compute,Very High (80-100%),Very High (₹300+)
2025-07-06,s3,eu-central-1,0.0,0.0,1.29,107.26350000000001,107.26350000000001,0.0,2025,7,July,3,Sunday,27,Storage,,Medium (₹100-200)
2025-08-06,rds,eu-central-1,13.8,50.1,3.53,293.5195,146.4662305,170.68712640897795,2025,8,August,3,Wednesday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-06,ec2,eu-central-1,24.2,83.3,3.66,304.329,50.82294300000001,273.71693134732476,2025,9,September,3,Saturday,36,Compute,Very High (80-100%),Very High (₹300+)
2025-10-06,ec2,eu-central-1,24.8,84.9,3.7,307.65500000000003,46.45590499999998,275.95845996327057,2025,10,October,4,Monday,41,Compute,Very High (80-100%),Very High (₹300+)
2025-11-06,ec2,eu-central-1,25.4,87.5,3.78,314.307,39.288375,278.39023629763255,2025,11,November,4,Thursday,45,Compute,Very High (80-100%),Very High (₹300+)
2025-12-06,s3,eu-central-1,0.0,0.0,1.22,101.443,101.443,0.0,2025,12,December,4,Saturday,49,Storage,,Medium (₹100-200)
2025-01-07,ec2,ap-south-1,24.1,83.7,3.48,289.362,47.16600599999998,289.2570551765608,2025,1,January,1,Tuesday,2,Compute,Very High (80-100%),High (₹200-300)
2025-02-07,ec2,ap-south-1,23.1,80.6,3.38,281.047,54.523118000000025,286.78477265368423,2025,2,February,1,Friday,6,Compute,Very High (80-100%),High (₹200-300)
2025-03-07,s3,ap-south-1,0.0,0.0,0.99,82.3185,82.3185,0.0,2025,3,March,1,Friday,10,Storage,,Low (₹0-100)
2025-04-07,rds,ap-south-1,12.7,49.0,3.28,272.732,139.09332,179.66355249842334,2025,4,April,2,Monday,15,Database,Medium (40-60%),High (₹200-300)
2025-05-07,lambda,ap-south-1,0.0,0.0,0.27,22.4505,22.4505,0.0,2025,5,May,2,Wednesday,19,Serverless,,Low (₹0-100)
2025-06-07,ec2,ap-south-1,23.7,82.3,3.44,286.036,50.62837200000001,287.7260205009159,2025,6,June,2,Saturday,23,Compute,Very High (80-100%),High (₹200-300)
2025-07-07,s3,ap-south-1,0.0,0.0,1.03,85.64450000000001,85.64450000000001,0.0,2025,7,July,3,Monday,28,Storage,,Low (₹0-100)
2025-08-07,rds,ap-south-1,12.3,46.3,3.24,269.40600000000006,144.67102200000005,171.8595725410718,2025,8,August,3,Thursday,32,Database,Medium (40-60%),High (₹200-300)
2025-09-07,ec2,ap-south-1,22.6,79.3,3.35,278.5525,57.66036750000002,284.6860107161128,2025,9,September,3,Sunday,36,Compute,High (60-80%),High (₹200-300)
2025-10-07,ec2,ap-south-1,23.4,81.2,3.41,283.54150000000004,53.30580199999999,286.37783181650656,2025,10,October,4,Tuesday,41,Compute,Very High (80-100%),High (₹200-300)
